"","mouseID","sex","lon","lat","year","bodyweight","bodylength","BMI","HI","loc","batch","Ntrapped","observed_arg","chao1_arg","shannon_arg","simpson_eve_arg","simpson_dom_arg"
"647","SK_3195","M",13.0447,52.6372,2015,"20.52",84.3,2.41413892692509,0,"52.6372   13.0447","Batch_1",1,71,71,3.45901261650458,0.274798018669008,0.0512540341828963
"648","SK_3021","F",12.145,48.83361111,2015,"14.65",76.1,0.146009703815453,0.695652174,"48.8336   12.145","Batch_1",3,170,170,3.81446567772034,0.122881660197819,0.0478700640250698
"649","SK_3067","M",12.16833333,48.89111111,2015,"14.41",76.4,-0.225766056314687,0.75,"48.8911   12.1683","Batch_1",4,40,40,2.92071422752295,0.302532858171812,0.0826356520447845
"650","AA_0262","F",13.5994,52.2458,2017,"21.39",87.56,1.85217566684428,0,"52.2458   13.5994","Batch_1",2,58,58,3.33688946960984,0.299275890852193,0.0576103182292757
"651","AA_0173","M",14.0358,53.02,2016,"17.61",83,0.0751672208223385,0.9,"53.02   14.0358","Batch_1",2,50,50,3.22281067174992,0.297481616824215,0.0672310451096487
"652","SK_3095","M",14.1625,52.7508,2015,"16.25",76.2,1.70208445043874,0.85,"52.7508   14.1625","Batch_1",1,133,133,3.48820789417961,0.119331585290666,0.0630076016686366
"653","SK_2952","M",12.2875,49.60444444,2015,"21.38",81.7,4.41619551471959,0.25,"49.6044   12.2875","Batch_1",4,146,146,3.73845169206618,0.120255572490371,0.0569563216626954
"654","AA_0511","M",12.4464,53.51885,2017,"18.058",91,-2.9908530493146,0.736842105263158,"53.5188   12.4464","Batch_1",3,43,43,3.16367990021993,0.387334079514639,0.060040712096983
"655","AA_0634","M",14.1414,53.0783,2018,"17.45",84.1,-0.568010566321489,0.7368421053,"53.0783   14.1414","Batch_1",18,149,149,4.26202530443651,0.255645533522613,0.02625279348125
"656","SK_3120","F",14.1189,52.8367,2015,"16.72",75.6,2.43563597069901,0.956521739,"52.8367   14.1189","Batch_1",1,55,55,3.17719726457673,0.248333367796993,0.0732153650679815
"657","AA_0168","F",13.847336,51.853542,2016,"11.83",70,0.00545015979486753,0.52,"51.8535   13.8473","Batch_1",13,35,35,2.87859737891683,0.355705055699365,0.0803233693579451
"658","AA_0548","F",12.7589,52.7625,2018,"18.02",83,0.485167220822339,0.08695652174,"52.7625   12.7589","Batch_1",1,56,56,3.35786904502177,0.312855295501319,0.0570779626041765
"659","SK_3150","F",13.3994,52.7969,2015,"13.94",72.4,1.06124407875378,0,"52.7969   13.3994","Batch_1",2,46,46,3.06559062445877,0.278487387386159,0.0780614541966258
"660","AA_0450","F",13.6506,53.2108,2017,"17.64",87.07,-1.68259059160983,0.956521739,"53.2108   13.6506","Batch_1",6,61,61,3.27019301323315,0.242112419877048,0.0677100440831409
"661","AA_0629","M",14.0939,53.0706,2018,"12.17",71.2,-0.181652880725675,0.85,"53.0706   14.0939","Batch_1",6,25,25,2.75585213075274,0.456958062719846,0.0875353851115292
"662","AA_0308","M",13.8675,52.2428,2017,"14.44",75.23,0.31815940819284,0.3,"52.2428   13.8675","Batch_1",6,44,44,3.23240350470299,0.376033067327813,0.0604395589163967
"663","SK_3145","F",13.4286,53.0689,2015,"16.17",80.3,-0.178850938006441,0.857142857,"53.0689   13.4286","Batch_1",4,46,46,3.04591716908931,0.283505772729855,0.0766796747221695
"664","AA_0407","M",14.1442,52.0172,2017,"10.87",70.13,-1.01165266959486,0.684210526,"52.0172   14.1442","Batch_1",10,48,48,3.04688342419659,0.264810735673771,0.0786725405234272
"665","AA_0142","F",13.7731,53.1164,2016,"16.152",82,-0.943580245410542,0.782608696,"53.1164   13.7731","Batch_1",3,35,35,2.92225923930124,0.381262931348006,0.0749389101909552
"666","SK_3205","F",13.6025,52.2225,2015,"13.04",73.2,-0.190157948259911,0,"52.2225   13.6025","Batch_1",8,62,62,3.43736923773023,0.317007640614945,0.0508790016126321
"667","SK_3156","F",13.5472,52.9217,2015,"16.42",76.4,1.78423394368531,0.16,"52.9217   13.5472","Batch_1",4,52,52,3.11464199871567,0.267881037712906,0.0717884677278998
"668","SK_3007","M",12.06888889,48.85583333,2015,"17.83",82.5,0.514793487705896,0.7,"48.8558   12.0689","Batch_1",2,44,44,3.02410296431601,0.293329438371705,0.0774803676488579
"669","AA_0660","F",14.1414,53.0783,2018,"21.21",89,1.03965201821963,0.84,"53.0783   14.1414","Batch_1",18,103,103,3.68184721691436,0.233427461940675,0.041592097962086
"670","SK_3166","F",13.8756,52.6053,2015,"10.4",82.5,-6.9152065122941,0.826086957,"52.6053   13.8756","Batch_1",15,39,39,2.95649669302419,0.3371904252448,0.076043160544699
"671","AA_0417","M",14.2775,52.6867,2017,"8.44",66.83,-1.99211930816337,0.736842105,"52.6867   14.2775","Batch_1",10,149,149,3.32190353805711,0.0866899696658197,0.0774185228330901
"672","SK_3026","M",12.6325,49.25083333,2015,"13.43",77.6,-1.73286909683522,0.842105263,"49.2508   12.6325","Batch_1",1,42,42,2.90045818010615,0.266793559019862,0.0892432482140669
"673","AA_0649","M",13.2144,53.1514,2018,"12.09",68,1.1439552273291,0.65,"53.1514   13.2144","Batch_1",14,30,30,2.66108455419869,0.321830476286334,0.103574197565045
"674","AA_0250","M",13.6025,52.2225,2017,"13.03",76.88,-1.8166072725229,0,"52.2225   13.6025","Batch_1",11,48,48,3.01644387919986,0.258804433619955,0.0804983633469214
"675","AA_0269","M",13.8756,52.6053,2017,"9.62",69.25,-1.8751104398798,0.615384615,"52.6053   13.8756","Batch_1",7,52,52,3.24896765997011,0.293056331621856,0.0656214084314124
"676","AA_0422","M",14.321733,52.650566,2017,"16.88",80.69,0.359840573824381,0.833333333,"52.6506   14.3217","Batch_1",3,55,55,3.15117755938604,0.24534622615993,0.074106777456468
"677","SK_3110","M",13.8756,52.6053,2015,"9.8",63.8,0.698815869150999,0.9,"52.6053   13.8756","Batch_1",15,73,73,3.40265638945542,0.244108996882217,0.0561168589111688
"678","AA_0612","F",14.0806,53.0336,2018,"10.41",72,-2.29305490773937,0.7826086957,"53.0336   14.0806","Batch_1",9,36,36,3.03508846665665,0.408710304254324,0.0679644664904088
"679","AA_0319","F",13.8103,51.8978,2017,"14.2",73.41,0.877599019648997,0.08,"51.8978   13.8103","Batch_1",2,70,70,3.32139074806649,0.203511477662464,0.0701961110488715
"680","AA_0402","F",14.1808,52.0747,2017,"20.85",83.73,2.99451287117234,0.8,"52.0747   14.1808","Batch_1",10,36,36,2.94484935327205,0.352170248918836,0.0788759921176069
"681","AA_0242","M",14.0378,52.8075,2017,"14.97",79.71,-1.11969194308384,0.9,"52.8075   14.0378","Batch_1",1,37,37,2.9042062038469,0.305801928084614,0.0883808260997908
"682","AA_0434","M",13.6422,53.2375,2017,"13.07",73.8,-0.423709468520178,0.736842105,"53.2375   13.6422","Batch_1",2,45,45,3.00595206335518,0.263115108890089,0.0844581761798603
"683","AA_0606","F",14.0806,53.0336,2018,"21.41",86.8,2.20600759250729,0.8,"53.0336   14.0806","Batch_1",9,66,66,3.29819217416441,0.209106969762639,0.0724582024631407
"684","AA_0183","M",13.2144,53.1514,2016,"17.75",82,0.654419754589457,0.75,"53.1514   13.2144","Batch_1",4,33,33,2.75583455958734,0.340917254066541,0.088886760472134
"685","AA_0555","F",14.0908,52.8328,2018,"15.08",78,-0.258570110342073,0.88,"52.8328   14.0908","Batch_1",5,51,51,3.17678816946557,0.270426494179379,0.0725071084353467
"686","SK_3140","F",13.7586,53.1406,2015,"14.86",78,-0.478570110342074,0.88,"53.1406   13.7586","Batch_1",5,39,39,3.06597601763395,0.364116659490443,0.07041980907138
"687","AA_0440","F",14.2606,52.0875,2017,"20.71",91.6,-0.602404569574869,0.826086957,"52.0875   14.2606","Batch_1",8,21,21,2.42346615033849,0.37810863900515,0.125940120660399
"688","AA_0342","F",13.4589,53.1247,2017,"17.21",78.79,1.5244203879819,0.84,"53.1247   13.4589","Batch_1",4,35,35,3.00238616175838,0.420582370108249,0.0679330152713603
"689","AA_0666","F",14.1414,53.0783,2018,"12.21",73,-0.932307441506485,0.84,"53.0783   14.1414","Batch_1",18,78,78,3.45875678569612,0.222260148180848,0.0576824632100985
"690","AA_0206","M",13.1633,53.2397,2016,"11.8",71,-0.46380237397225,0.85,"53.2397   13.1633","Batch_1",6,76,76,2.66147498753029,0.103796095411172,0.12676676020152
