"mouseID","sex","year","bodyweight","bodylength","BMI","HI","loc","batch","Ntrapped","ID","agri","imperv","tcd","swf","dist_road","dist_path","prec_aug_2015","prec_aug_2016","prec_aug_2017","prec_aug_2018","prec_aug_2019","prec_aug_2021","prec_aug_2022","temp_aug_2015","temp_aug_2016","temp_aug_2017","temp_aug_2018","temp_aug_2019","temp_aug_2021","temp_aug_2022","CATO","PITO","POTO","cat_dens","pig_dens","pou_dens","gem_char","region","lon","lat","farm_ID","observed_arg","chao1_arg","shannon_arg","simpson_eve_arg","simpson_dom_arg"
"SK_3021","F",2015,14.65,76.1,0.146009703815449,0.695652174,"48.8336   12.145","Batch_1",3,435,0.0999999940395355,17.2800006866455,0,0,22.485668182373,125.727279663086,32.553050994873,48.0149383544922,101.229644775391,51.6082572937012,90.1362838745117,101.714286804199,61.6459503173828,213.395629882812,185.395629882812,193.395629882812,211.395629882812,194.395629882812,168.395629882812,202.395629882812,1.33315908908844,0.679507374763489,0.000178761023562402,0.171994641423225,0.0876651778817177,0.0230624675750732,"09375196","Bayern",12.145,48.83361111,2,170,170,3.81446567772034,0.122881660197819,0.0478700640250698
"SK_3067","M",2015,14.41,76.4,-0.225766056314691,0.75,"48.8911   12.1683","Batch_1",4,436,0.469999998807907,33.4700012207031,0,0,48.0570907592773,17.5055294036865,30.4265460968018,44.845630645752,103.044502258301,54.9300689697266,86.395149230957,97.1827239990234,60.5063629150391,213.643417358398,184.792922973633,192.80419921875,210.643417358398,194.643417358398,168.643417358398,203.643417358398,0.536088764667511,0.0299952458590269,3.91250760003459e-05,0.144040018320084,0.00805932935327291,0.0105123948305845,"09375205","Bayern",12.16833333,48.89111111,10,40,40,2.92071422752295,0.302532858171812,0.0826356520447845
"AA_0262","F",2017,21.39,87.56,1.85217566684429,0,"52.2458   13.5994","Batch_1",2,437,0.269999980926514,37.0800018310547,1.10000002384186,1,36.5665893554688,148.601287841797,39.9165573120117,35.5162086486816,65.2854614257812,7.6323184967041,32.2587203979492,88.2795867919922,51.2038116455078,217.822494506836,182.335144042969,187.822494506836,211.310852050781,207.190170288086,176.190170288086,213.822494506836,5.62238928978331e-05,4.66095400497579e-07,7.93035542301368e-06,1.49616516864626e-05,1.24031913628642e-07,0.00211033434607089,"12061020","Brandenburg",13.5994,52.2458,54,58,58,3.33688946960984,0.299275890852193,0.0576103182292757
"AA_0173","M",2016,17.61,83,0.0751672208223388,0.9,"53.02   14.0358","Batch_1",2,438,0.0499999970197678,44.1699981689453,4.30000019073486,8,19.6653060913086,122.025833129883,22.2413272857666,41.0197944641113,48.5831336975098,15.0084733963013,36.3510665893555,80.9172668457031,57.2961959838867,210.992492675781,177.992492675781,182.992492675781,205.992492675781,203.992492675781,169.992492675781,209.992492675781,3.39110207557678,0.227075219154358,0.236762419342995,0.104476436972618,0.00699595874175429,7.29441165924072,"12073008","Brandenburg",14.0358,53.02,183,50,50,3.22281067174992,0.297481616824215,0.0672310451096487
"SK_3095","M",2015,16.25,76.2,1.70208445043873,0.85,"52.7508   14.1625","Batch_1",1,439,0,36.2999992370605,5.09000015258789,40,15.7734699249268,339.233673095703,45.9287757873535,38.9987602233887,63.4908638000488,5.00076961517334,37.4150695800781,68,24.5459671020508,219,183,189.000076293945,213,208,176.000076293945,213,0.545795977115631,0.0857158526778221,0.986383676528931,0.0836265087127686,0.0131333274766803,151.133071899414,"12064371","Brandenburg",14.1625,52.7508,113,133,133,3.48820789417961,0.119331585290666,0.0630076016686366
"SK_2952","M",2015,21.38,81.7,4.41619551471959,0.25,"49.6044   12.2875","Batch_1",4,440,0.259999990463257,9.42000007629395,0,0,16.6773319244385,200.462646484375,51.3670463562012,38.4331474304199,95.2398910522461,32.3273048400879,90.9797058105469,108.584411621094,43.9828300476074,206.480499267578,171.482406616211,181.482406616211,200.843353271484,183.482406616211,154.503387451172,194.977096557617,1.38522958755493,0.0662389248609543,0.00711655803024769,0.428663343191147,0.020497826859355,2.2022397518158,"09374132","Bayern",12.2875,49.60444444,25,146,146,3.73845169206618,0.120255572490371,0.0569563216626954
"AA_0511","M",2017,18.058,91,-2.9908530493146,0.736842105263158,"53.5188   12.4464","Batch_1",3,441,0.0299999993294477,41.1599998474121,0.819999992847443,0,61.2560844421387,105.03173828125,63.4041709899902,35.0205955505371,53.4041709899902,41.3835716247559,32.4041709899902,83.2273254394531,70.2035522460938,199,174,178,201,197,167,202,0.00059589633019641,1.20050444820663e-05,4.56968285433845e-09,0.000551132194232196,1.11032168206293e-05,4.22640505348681e-06,"13056064","Mecklenburg-Vorpommern",12.4464,53.51885,230,43,43,3.16367990021993,0.387334079514639,0.060040712096983
"AA_0634","M",2018,17.45,84.1,-0.568010566321488,0.7368421053,"53.0783   14.1414","Batch_1",18,442,0,7.65000009536743,0,9,63.8303489685059,318.106231689453,26.014669418335,47.6559638977051,59.3956604003906,12.4641408920288,28.0515518188477,71.9484939575195,53.4641418457031,211.314163208008,178.314163208008,183.314163208008,206.314163208008,204.314163208008,170.314163208008,209.314163208008,0.298691153526306,0.450649976730347,0.0634732320904732,0.0668743327260017,0.100896582007408,14.2111005783081,"12073386","Brandenburg",14.1414,53.0783,199,149,149,4.26202530443651,0.255645533522613,0.02625279348125
"SK_3120","F",2015,16.72,75.6,2.43563597069901,0.956521739,"52.8367   14.1189","Batch_1",1,443,0.0199999995529652,51.8400001525879,5.26999998092651,49,11.2458038330078,232.295333862305,41.5497016906738,41.2353591918945,62.5217018127441,6,32.2863426208496,68.4735488891602,34.6350250244141,217.097030639648,181.788818359375,187.764633178711,211.097030639648,207.097030639648,175.072845458984,212.097030639648,2.81315588951111,0.0907081663608551,0.000169543141964823,0.214459255337715,0.0069150822237134,0.0129250194877386,"12064044","Brandenburg",14.1189,52.8367,130,55,55,3.17719726457673,0.248333367796993,0.0732153650679815
"AA_0168","F",2016,11.83,70,0.00545015979485902,0.52,"51.8535   13.8473","Batch_1",13,444,0.889999985694885,12.7399997711182,0.889999985694885,7,25.0671215057373,244.898742675781,34.0022468566895,45.7346687316895,66.7877883911133,19.0590572357178,19.7637367248535,103.72053527832,60.8610000610352,218.142715454102,183.142715454102,190.142715454102,214.142715454102,206.142715454102,175.142715454102,210.142715454102,2.57593035697937,0.122642524540424,0.136892333626747,0.185363709926605,0.0088253440335393,9.85075950622559,"12066196","Brandenburg",13.847336,51.853542,31,35,35,2.87859737891683,0.355705055699365,0.0803233693579451
"AA_0548","F",2018,18.02,83,0.485167220822339,0.08695652174,"52.7625   12.7589","Batch_1",1,445,0.849999964237213,9.0600004196167,2.16000008583069,10,29.50807762146,501.673889160156,65.8077697753906,28.682523727417,64.539794921875,32.9600524902344,22.847713470459,86.6293334960938,49.5573272705078,208.803344726562,179.803344726562,183.769500732422,205.868743896484,203.703552246094,171.769500732422,208.703552246094,8.38105773925781,0.241470649838448,0.0007241788553074,0.310892283916473,0.00895726587623358,0.0268631502985954,"12068117","Brandenburg",12.7589,52.7625,117,56,56,3.35786904502177,0.312855295501319,0.0570779626041765
"SK_3150","F",2015,13.94,72.4,1.06124407875378,0,"52.7969   13.3994","Batch_1",2,446,0.509999990463257,13.2399997711182,0,0,91.8692855834961,47.8807563781738,42.7154159545898,37.1972389221191,61.2006950378418,16.3255443572998,24.6136989593506,89.1371002197266,50.9392433166504,214.526245117188,180,185.526245117188,208.587005615234,204.875152587891,172.875152587891,209.587005615234,0.140977710485458,0.00040861259913072,0.0283319819718599,0.00857078656554222,2.4841736376402e-05,1.722452044487,"12065256","Brandenburg",13.3994,52.7969,124,46,46,3.06559062445877,0.278487387386159,0.0780614541966258
